Id,Name,FullName,HtmlUrl,Description,Language,CreatedAt,UpdatedAt,PushedAt,OpenIssuesCount,ForksCount,StargazersCount,WatchersCount,Size,OwnerLogin,OwnerType,License
85077558,developer-roadmap,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,2017-03-15T13:45:52Z,2024-12-07T01:07:18Z,2024-12-07T00:12:30Z,65,39464,300478,300478,248790,kamranahmedse,User,Other
45717250,tensorflow,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,2015-11-07T01:19:20Z,2024-12-07T01:07:15Z,2024-12-07T01:07:03Z,5965,74351,186726,186726,1104924,tensorflow,Organization,Apache License 2.0
2325298,linux,torvalds/linux,https://github.com/torvalds/linux,Linux kernel source tree,C,2011-09-04T22:48:12Z,2024-12-07T01:00:05Z,2024-12-06T23:09:59Z,440,54331,183826,183826,5359075,torvalds,User,Other
614765452,AutoGPT,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,2023-03-16T09:21:07Z,2024-12-07T00:58:07Z,2024-12-06T23:38:07Z,172,44505,168941,168941,188087,Significant-Gravitas,Organization,Other
31792824,flutter,flutter/flutter,https://github.com/flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,2015-03-06T22:54:58Z,2024-12-07T00:58:54Z,2024-12-07T00:58:58Z,13092,27663,166877,166877,173192,flutter,Organization,"BSD 3-Clause ""New"" or ""Revised"" License"
41881900,vscode,microsoft/vscode,https://github.com/microsoft/vscode,Visual Studio Code,TypeScript,2015-09-03T20:23:38Z,2024-12-07T01:03:27Z,2024-12-07T01:00:30Z,10749,29561,165045,165045,968509,microsoft,Organization,MIT License
70107786,next.js,vercel/next.js,https://github.com/vercel/next.js,The React Framework,JavaScript,2016-10-05T23:32:51Z,2024-12-07T00:41:44Z,2024-12-07T00:41:39Z,3592,27065,127608,127608,2123663,vercel,Organization,MIT License
23096959,go,golang/go,https://github.com/golang/go,The Go programming language,Go,2014-08-19T04:33:40Z,2024-12-07T00:44:06Z,2024-12-07T00:44:01Z,9452,17711,124460,124460,385280,golang,Organization,"BSD 3-Clause ""New"" or ""Revised"" License"
29028775,react-native,facebook/react-native,https://github.com/facebook/react-native,A framework for building native applications using React,C++,2015-01-09T18:10:16Z,2024-12-07T00:39:04Z,2024-12-07T00:22:28Z,857,24378,119625,119625,899157,facebook,Organization,MIT License
9384267,electron,electron/electron,https://github.com/electron/electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",C++,2013-04-12T01:47:36Z,2024-12-06T23:48:51Z,2024-12-06T23:28:57Z,971,15525,114644,114644,159493,electron,Organization,MIT License
658928958,ollama,ollama/ollama,https://github.com/ollama/ollama,"Get up and running with Llama 3.2, Mistral, Gemma 2, and other large language models.",Go,2023-06-26T19:39:32Z,2024-12-07T01:04:33Z,2024-12-06T23:23:01Z,1270,8076,101099,101099,27227,ollama,Organization,MIT License
133442384,deno,denoland/deno,https://github.com/denoland/deno,A modern runtime for JavaScript and TypeScript.,Rust,2018-05-15T01:34:26Z,2024-12-07T00:31:17Z,2024-12-06T23:24:51Z,2071,5412,98321,98321,149384,denoland,Organization,MIT License
552661142,langchain,langchain-ai/langchain,https://github.com/langchain-ai/langchain,🦜🔗 Build context-aware reasoning applications,Jupyter Notebook,2022-10-17T02:58:36Z,2024-12-07T01:00:24Z,2024-12-07T01:00:11Z,708,15561,95841,95841,364792,langchain-ai,Organization,MIT License
157616880,iptv,iptv-org/iptv,https://github.com/iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,JavaScript,2018-11-14T22:00:57Z,2024-12-07T00:51:10Z,2024-12-07T00:11:18Z,34,2761,87053,87053,717585,iptv-org,Organization,The Unlicense
65600975,pytorch,pytorch/pytorch,https://github.com/pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,Python,2016-08-13T05:26:41Z,2024-12-07T01:06:03Z,2024-12-07T01:06:20Z,15556,22828,84790,84790,1017876,pytorch,Organization,Other
214587193,supabase,supabase/supabase,https://github.com/supabase/supabase,"The open source Firebase alternative. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",TypeScript,2019-10-12T05:56:49Z,2024-12-07T01:06:16Z,2024-12-06T23:38:58Z,628,7262,74703,74703,1587089,supabase,Organization,Apache License 2.0
357728969,bun,oven-sh/bun,https://github.com/oven-sh/bun,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one",Zig,2021-04-14T00:48:17Z,2024-12-07T00:10:38Z,2024-12-07T00:54:44Z,4065,2784,74569,74569,223230,oven-sh,Organization,Other
10744183,netdata,netdata/netdata,https://github.com/netdata/netdata,"Architected for speed. Automated for easy. Monitoring and troubleshooting, transformed!",C,2013-06-17T18:39:10Z,2024-12-07T01:05:54Z,2024-12-07T00:22:10Z,199,5953,72396,72396,221536,netdata,Organization,GNU General Public License v3.0
619959033,gpt4all,nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,C++,2023-03-27T18:49:32Z,2024-12-07T00:58:34Z,2024-12-07T00:29:55Z,650,7725,71029,71029,46014,nomic-ai,Organization,MIT License
221981891,playwright,microsoft/playwright,https://github.com/microsoft/playwright,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. ",TypeScript,2019-11-15T18:32:42Z,2024-12-07T01:00:44Z,2024-12-07T00:43:27Z,697,3722,67451,67451,165023,microsoft,Organization,Apache License 2.0
23357588,protobuf,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,Protocol Buffers - Google's data interchange format,C++,2014-08-26T15:52:15Z,2024-12-06T23:26:21Z,2024-12-07T00:34:53Z,277,15533,65944,65944,176208,protocolbuffers,Organization,Other
15111821,grafana,grafana/grafana,https://github.com/grafana/grafana,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",TypeScript,2013-12-11T15:59:56Z,2024-12-07T00:08:23Z,2024-12-07T00:41:06Z,4214,12203,65400,65400,1285888,grafana,Organization,GNU Affero General Public License v3.0
39464018,superset,apache/superset,https://github.com/apache/superset,Apache Superset is a Data Visualization and Data Exploration Platform,TypeScript,2015-07-21T18:55:34Z,2024-12-07T01:04:38Z,2024-12-07T01:08:55Z,1031,14005,63201,63201,673462,apache,Organization,Apache License 2.0
331107018,sway,FuelLabs/sway,https://github.com/FuelLabs/sway,🌴 Empowering everyone to build reliable and efficient smart contracts.,Rust,2021-01-19T20:54:33Z,2024-12-07T01:02:06Z,2024-12-07T01:01:56Z,819,5370,62581,62581,86524,FuelLabs,Organization,Apache License 2.0
