Id,Name,FullName,HtmlUrl,Description,Language,CreatedAt,UpdatedAt,PushedAt,OpenIssuesCount,ForksCount,StargazersCount,WatchersCount,Size,OwnerLogin,OwnerType,License
21737465,awesome,sindresorhus/awesome,https://github.com/sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,,2014-07-11T13:42:37Z,2024-11-05T23:51:09Z,2024-10-29T11:09:51Z,43,27855,331707,331707,1525,sindresorhus,User,Creative Commons Zero v1.0 Universal
54346799,public-apis,public-apis/public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs,Python,2016-03-20T23:49:42Z,2024-11-06T00:09:12Z,2024-10-31T19:50:02Z,377,33776,316814,316814,5030,public-apis,Organization,MIT License
132750724,build-your-own-x,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,Master programming by recreating your favorite technologies from scratch.,Markdown,2018-05-09T12:03:18Z,2024-11-05T23:53:31Z,2024-09-03T14:39:35Z,338,28727,306876,306876,1058,codecrafters-io,Organization,NA
60493101,coding-interview-university,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,A complete computer science study plan to become a software engineer.,,2016-06-06T02:34:12Z,2024-11-05T23:50:50Z,2024-09-13T20:41:49Z,55,76810,306451,306451,22318,jwasham,User,Creative Commons Attribution Share Alike 4.0 International
85077558,developer-roadmap,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,2017-03-15T13:45:52Z,2024-11-05T23:59:30Z,2024-11-05T22:18:33Z,41,39078,296377,296377,243999,kamranahmedse,User,Other
177736533,996.ICU,996icu/996.ICU,https://github.com/996icu/996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,,2019-03-26T07:31:14Z,2024-11-05T23:25:55Z,2024-10-03T12:29:12Z,16696,21144,269876,269876,187831,996icu,User,Other
11730342,vue,vuejs/vue,https://github.com/vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,2013-07-29T03:24:51Z,2024-11-05T23:02:54Z,2024-10-10T07:24:15Z,602,33674,207958,207958,32152,vuejs,Organization,MIT License
88011908,project-based-learning,practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,Curated list of project-based tutorials,,2017-04-12T05:07:46Z,2024-11-05T23:57:59Z,2024-08-15T05:33:54Z,186,26512,203113,203113,438,practical-tutorials,Organization,MIT License
63476337,Python,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,Python,2016-07-16T09:44:01Z,2024-11-05T23:29:20Z,2024-11-04T20:09:12Z,345,45616,194018,194018,15454,TheAlgorithms,Organization,MIT License
126577260,javascript-algorithms,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,2018-03-24T07:47:04Z,2024-11-05T22:05:25Z,2024-08-19T12:32:07Z,356,30253,188275,188275,13398,trekhleb,User,MIT License
45717250,tensorflow,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,2015-11-07T01:19:20Z,2024-11-06T00:06:54Z,2024-11-06T00:01:40Z,5694,74298,186270,186270,1091247,tensorflow,Organization,Apache License 2.0
2325298,linux,torvalds/linux,https://github.com/torvalds/linux,Linux kernel source tree,C,2011-09-04T22:48:12Z,2024-11-05T23:01:11Z,2024-11-05T01:37:09Z,455,53953,181887,181887,5301594,torvalds,User,Other
121395510,CS-Notes,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,,2018-02-13T14:56:24Z,2024-11-06T00:05:44Z,2024-08-21T09:40:10Z,187,51073,176852,176852,116179,CyC2018,User,NA
291137,ohmyzsh,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",Shell,2009-08-28T18:15:37Z,2024-11-05T23:06:59Z,2024-11-03T14:35:58Z,424,25896,173751,173751,12076,ohmyzsh,Organization,MIT License
614765452,AutoGPT,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,2023-03-16T09:21:07Z,2024-11-06T00:05:32Z,2024-11-05T23:54:51Z,184,44349,168065,168065,180042,Significant-Gravitas,Organization,Other
31792824,flutter,flutter/flutter,https://github.com/flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,2015-03-06T22:54:58Z,2024-11-06T00:07:15Z,2024-11-06T00:07:18Z,12792,27461,166154,166154,170291,flutter,Organization,"BSD 3-Clause ""New"" or ""Revised"" License"
1062897,gitignore,github/gitignore,https://github.com/github/gitignore,A collection of useful .gitignore templates,,2010-11-08T20:17:14Z,2024-11-05T21:58:57Z,2024-10-17T21:03:32Z,491,83133,162246,162246,2441,github,Organization,Creative Commons Zero v1.0 Universal
123458551,Python-100-Days,jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,Python - 100天从新手到大师,Python,2018-03-01T16:05:52Z,2024-11-05T22:50:30Z,2024-08-15T10:52:27Z,728,52302,156623,156623,332080,jackfrued,User,NA
138393139,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",,2018-06-23T10:43:14Z,2024-11-06T00:10:00Z,2024-08-21T00:15:07Z,76,9562,147905,147905,1811,trimstray,User,MIT License
132464395,JavaGuide,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,Java,2018-05-07T13:27:00Z,2024-11-06T00:09:03Z,2024-11-01T07:43:02Z,71,45581,146727,146727,176455,Snailclimb,User,Apache License 2.0
6498492,javascript,airbnb/javascript,https://github.com/airbnb/javascript,JavaScript Style Guide,JavaScript,2012-11-01T23:13:50Z,2024-11-05T23:33:37Z,2024-10-05T06:48:52Z,163,26510,145204,145204,3711,airbnb,Organization,MIT License
155220641,transformers,huggingface/transformers,https://github.com/huggingface/transformers,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",Python,2018-10-29T13:56:00Z,2024-11-05T22:16:14Z,2024-11-05T19:21:57Z,1421,26892,134474,134474,259006,huggingface,Organization,Apache License 2.0
21540759,awesome-go,avelino/awesome-go,https://github.com/avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software",Go,2014-07-06T13:42:15Z,2024-11-06T00:05:40Z,2024-11-05T09:31:36Z,119,11902,132110,132110,10848,avelino,User,MIT License
70107786,next.js,vercel/next.js,https://github.com/vercel/next.js,The React Framework,JavaScript,2016-10-05T23:32:51Z,2024-11-06T00:06:13Z,2024-11-06T00:02:39Z,3530,26951,126777,126777,2102068,vercel,Organization,MIT License
23096959,go,golang/go,https://github.com/golang/go,The Go programming language,Go,2014-08-19T04:33:40Z,2024-11-05T23:52:29Z,2024-11-05T23:52:23Z,9700,17652,123909,123909,377805,golang,Organization,"BSD 3-Clause ""New"" or ""Revised"" License"
112507086,30-seconds-of-code,Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,Short code snippets for all your development needs,JavaScript,2017-11-29T17:35:03Z,2024-11-05T20:55:14Z,2024-11-05T18:31:25Z,0,12029,121667,121667,705390,Chalarangelo,User,Creative Commons Attribution 4.0 International
29028775,react-native,facebook/react-native,https://github.com/facebook/react-native,A framework for building native applications using React,C++,2015-01-09T18:10:16Z,2024-11-06T00:00:04Z,2024-11-05T23:59:58Z,837,24318,119099,119099,896985,facebook,Organization,MIT License
62607227,tech-interview-handbook,yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,💯 Curated coding interview preparation materials for busy software engineers,TypeScript,2016-07-05T05:00:48Z,2024-11-05T22:02:24Z,2024-10-08T11:04:00Z,43,14707,118769,118769,32189,yangshun,User,MIT License
9384267,electron,electron/electron,https://github.com/electron/electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",C++,2013-04-12T01:47:36Z,2024-11-06T00:04:58Z,2024-11-05T22:28:20Z,970,15409,114300,114300,159440,electron,Organization,MIT License
574523116,awesome-chatgpt-prompts,f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts,This repo includes ChatGPT prompt curation to use ChatGPT better.,HTML,2022-12-05T13:54:13Z,2024-11-05T22:04:39Z,2024-09-26T13:36:47Z,299,15324,112362,112362,773,f,User,Creative Commons Zero v1.0 Universal
14098069,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,:books: 免费的计算机编程类中文书籍，欢迎投稿,,2013-11-04T01:59:19Z,2024-11-05T20:24:06Z,2024-07-15T08:55:20Z,33,28224,111619,111619,1059,justjavac,User,GNU General Public License v3.0
184456251,PowerToys,microsoft/PowerToys,https://github.com/microsoft/PowerToys,Windows system utilities to maximize productivity,C#,2019-05-01T17:44:02Z,2024-11-05T23:54:36Z,2024-11-05T20:26:59Z,5633,6536,111110,111110,370659,microsoft,Organization,MIT License
20580498,kubernetes,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management,Go,2014-06-06T22:56:04Z,2024-11-05T23:22:06Z,2024-11-05T23:21:57Z,2521,39604,110882,110882,1311047,kubernetes,Organization,Apache License 2.0
